"custcare_Mean","new_cell","area","Customer_ID","creditcd"
0,"U","PHILADELPHIA AREA",1032592,"Y"
2.333333333,"Y","PHILADELPHIA AREA",1024580,"Y"
0,"U","PHILADELPHIA AREA",1044265,"N"
16,"U","PHILADELPHIA AREA",1075560,"N"
4.333333333,"N","PHILADELPHIA AREA",1026798,"Y"
0,"U","PHILADELPHIA AREA",1066125,"Y"
0,"Y","PHILADELPHIA AREA",1057755,"Y"
0,"U","PHILADELPHIA AREA",1019071,"Y"
0,"U","PHILADELPHIA AREA",1069367,"Y"
0,"N","PHILADELPHIA AREA",1000785,"Y"
0,"N","PHILADELPHIA AREA",1049364,"Y"
0,"Y","PHILADELPHIA AREA",1023906,"Y"
1,"U","PHILADELPHIA AREA",1075124,"Y"
7.333333333,"Y","PHILADELPHIA AREA",1086592,"Y"
12.66666667,"Y","PHILADELPHIA AREA",1037393,"Y"
14.66666667,"N","PHILADELPHIA AREA",1056729,"N"
0,"Y","PHILADELPHIA AREA",1046960,"N"
0,"U","PHILADELPHIA AREA",1001133,"Y"
0,"U","PHILADELPHIA AREA",1047884,"Y"
0,"U","PHILADELPHIA AREA",1071730,"Y"
2.666666667,"U","PHILADELPHIA AREA",1091963,"Y"
0,"U","PHILADELPHIA AREA",1032487,"Y"
0,"U","PHILADELPHIA AREA",1063413,"Y"
0,"Y","PHILADELPHIA AREA",1000368,"Y"
0,"Y","PHILADELPHIA AREA",1015474,"Y"
0.666666667,"Y","PHILADELPHIA AREA",1045258,"N"
0,"U","PHILADELPHIA AREA",1060968,"Y"
0,"N","PHILADELPHIA AREA",1068926,"Y"
4,"Y","PHILADELPHIA AREA",1036484,"N"
0,"U","PHILADELPHIA AREA",1065220,"Y"
0,"U","PHILADELPHIA AREA",1036871,"Y"
0,"Y","PHILADELPHIA AREA",1007369,"Y"
0,"U","PHILADELPHIA AREA",1030361,"Y"
0,"U","PHILADELPHIA AREA",1059246,""
0,"U","PHILADELPHIA AREA",1029342,"Y"
6.333333333,"Y","PHILADELPHIA AREA",1050096,"Y"
0.333333333,"Y","PHILADELPHIA AREA",1003001,"N"
0.666666667,"U","PHILADELPHIA AREA",1005325,"N"
0.333333333,"N","PHILADELPHIA AREA",1092495,"N"
0.333333333,"N","PHILADELPHIA AREA",1091057,"N"
45.33333333,"U","PHILADELPHIA AREA",1038783,"Y"
1.666666667,"U","PHILADELPHIA AREA",1067191,"Y"
0,"U","PHILADELPHIA AREA",1016498,"Y"
0,"Y","PHILADELPHIA AREA",1016538,"Y"
0,"U","PHILADELPHIA AREA",1054679,"Y"
0,"U","PHILADELPHIA AREA",1089967,"Y"
4,"U","PHILADELPHIA AREA",1025383,"Y"
0,"U","PHILADELPHIA AREA",1004136,"Y"
0,"U","PHILADELPHIA AREA",1073027,"Y"
0.333333333,"U","PHILADELPHIA AREA",1019738,"Y"
0,"Y","PHILADELPHIA AREA",1081054,"Y"
3,"U","PHILADELPHIA AREA",1026642,"N"
0,"Y","PHILADELPHIA AREA",1040153,"N"
0,"N","PHILADELPHIA AREA",1033593,"Y"
0,"Y","PHILADELPHIA AREA",1029040,"Y"
0,"U","PHILADELPHIA AREA",1056256,"Y"
3,"Y","PHILADELPHIA AREA",1042819,"N"
1.666666667,"N","PHILADELPHIA AREA",1043632,"N"
1,"N","PHILADELPHIA AREA",1074561,"Y"
16,"U","PHILADELPHIA AREA",1072494,"Y"
0.333333333,"U","PHILADELPHIA AREA",1054355,"N"
0,"U","PHILADELPHIA AREA",1025707,"Y"
3.666666667,"U","PHILADELPHIA AREA",1054482,"N"
0,"Y","PHILADELPHIA AREA",1058610,"Y"
0.333333333,"U","PHILADELPHIA AREA",1024857,"Y"
2,"U","PHILADELPHIA AREA",1066641,"Y"
1.333333333,"U","PHILADELPHIA AREA",1033377,"N"
0,"Y","PHILADELPHIA AREA",1000845,"Y"
2.333333333,"U","PHILADELPHIA AREA",1036854,"N"
0,"U","PHILADELPHIA AREA",1017554,"Y"
24.33333333,"U","PHILADELPHIA AREA",1096100,"Y"
0.666666667,"Y","PHILADELPHIA AREA",1005403,"N"
0,"U","PHILADELPHIA AREA",1065945,"Y"
0,"Y","PHILADELPHIA AREA",1095501,"Y"
0,"U","PHILADELPHIA AREA",1060756,""
3.666666667,"Y","PHILADELPHIA AREA",1068291,"Y"
0.666666667,"U","PHILADELPHIA AREA",1058073,"N"
0.666666667,"U","PHILADELPHIA AREA",1027163,"Y"
0,"Y","PHILADELPHIA AREA",1044107,"Y"
1.666666667,"U","PHILADELPHIA AREA",1091245,"N"
0,"U","PHILADELPHIA AREA",1036382,"Y"
0,"U","PHILADELPHIA AREA",1027824,"N"
0.333333333,"U","PHILADELPHIA AREA",1075781,"Y"
1.333333333,"U","PHILADELPHIA AREA",1006532,"Y"
0,"U","PHILADELPHIA AREA",1031586,"Y"
6.333333333,"U","PHILADELPHIA AREA",1095251,"N"
1,"Y","PHILADELPHIA AREA",1031261,"Y"
0,"U","PHILADELPHIA AREA",1082126,"Y"
0,"U","PHILADELPHIA AREA",1066653,"N"
2.333333333,"Y","PHILADELPHIA AREA",1073223,"N"
0,"Y","PHILADELPHIA AREA",1081258,"N"
0,"U","PHILADELPHIA AREA",1055446,"N"
0,"U","PHILADELPHIA AREA",1091197,"Y"
0,"U","PHILADELPHIA AREA",1066452,"N"
0,"Y","PHILADELPHIA AREA",1005878,"N"
0.333333333,"Y","PHILADELPHIA AREA",1056458,"N"
0.666666667,"Y","PHILADELPHIA AREA",1058803,"Y"
8.666666667,"U","PHILADELPHIA AREA",1040207,"Y"
0,"Y","PHILADELPHIA AREA",1078280,"Y"
0,"Y","PHILADELPHIA AREA",1050970,"Y"
0,"U","PHILADELPHIA AREA",1090426,"Y"
0.333333333,"Y","PHILADELPHIA AREA",1083066,"Y"
0,"Y","PHILADELPHIA AREA",1073876,"Y"
1.333333333,"U","PHILADELPHIA AREA",1065710,"N"
2,"U","PHILADELPHIA AREA",1034350,"Y"
0,"U","PHILADELPHIA AREA",1051182,"Y"
3.666666667,"U","PHILADELPHIA AREA",1071315,"N"
0,"Y","PHILADELPHIA AREA",1006893,"Y"
0,"U","PHILADELPHIA AREA",1022918,"N"
0,"U","PHILADELPHIA AREA",1045486,"Y"
0,"U","PHILADELPHIA AREA",1072894,"N"
6.666666667,"U","PHILADELPHIA AREA",1069113,"Y"
0.333333333,"Y","PHILADELPHIA AREA",1016751,"Y"
0,"U","PHILADELPHIA AREA",1022562,"Y"
3.333333333,"Y","PHILADELPHIA AREA",1025752,"Y"
5.333333333,"N","PHILADELPHIA AREA",1000829,"N"
0,"U","PHILADELPHIA AREA",1019322,"N"
0,"U","PHILADELPHIA AREA",1028202,"Y"
1,"Y","PHILADELPHIA AREA",1022767,"N"
0,"N","PHILADELPHIA AREA",1002564,"Y"
2,"U","PHILADELPHIA AREA",1093019,"Y"
0,"N","PHILADELPHIA AREA",1081690,"Y"
0,"Y","PHILADELPHIA AREA",1047341,"Y"
0,"U","PHILADELPHIA AREA",1082450,"N"
0,"U","PHILADELPHIA AREA",1058954,"Y"
0,"U","PHILADELPHIA AREA",1036970,"N"
0,"U","PHILADELPHIA AREA",1025474,"Y"
1.333333333,"U","PHILADELPHIA AREA",1057964,"Y"
18,"U","PHILADELPHIA AREA",1089333,"N"
0,"N","PHILADELPHIA AREA",1029181,"Y"
0,"U","PHILADELPHIA AREA",1050192,"Y"
0.666666667,"U","PHILADELPHIA AREA",1019623,"N"
0,"U","PHILADELPHIA AREA",1031476,"Y"
0,"N","PHILADELPHIA AREA",1050409,"Y"
0,"N","PHILADELPHIA AREA",1009755,"N"
0,"U","PHILADELPHIA AREA",1029763,"Y"
0.333333333,"Y","PHILADELPHIA AREA",1060963,"Y"
0,"U","PHILADELPHIA AREA",1042051,"Y"
2,"Y","PHILADELPHIA AREA",1054002,"Y"
2,"U","PHILADELPHIA AREA",1075544,""
5,"U","PHILADELPHIA AREA",1073697,"Y"
0,"U","PHILADELPHIA AREA",1082130,"Y"
1.666666667,"U","PHILADELPHIA AREA",1059727,"N"
0,"N","PHILADELPHIA AREA",1001989,"Y"
0,"Y","PHILADELPHIA AREA",1036464,"N"
7,"U","PHILADELPHIA AREA",1096901,"N"
0,"U","PHILADELPHIA AREA",1012080,"Y"
0,"Y","PHILADELPHIA AREA",1090224,"Y"
8.333333333,"U","PHILADELPHIA AREA",1066369,"N"
0,"Y","PHILADELPHIA AREA",1020071,"Y"
0.333333333,"Y","PHILADELPHIA AREA",1062438,"Y"
5.333333333,"U","PHILADELPHIA AREA",1031378,"Y"
3.666666667,"Y","PHILADELPHIA AREA",1000309,"Y"
0,"Y","PHILADELPHIA AREA",1016563,"N"
0,"Y","PHILADELPHIA AREA",1040746,"N"
0.333333333,"U","PHILADELPHIA AREA",1052582,"N"
2.666666667,"U","PHILADELPHIA AREA",1079893,"N"
3.666666667,"U","PHILADELPHIA AREA",1025338,"Y"
0,"U","PHILADELPHIA AREA",1079351,"Y"
0,"U","PHILADELPHIA AREA",1034227,"Y"
0,"U","PHILADELPHIA AREA",1048297,"N"
3,"Y","PHILADELPHIA AREA",1076519,"Y"
0,"N","PHILADELPHIA AREA",1094250,"Y"
0,"U","PHILADELPHIA AREA",1056394,"Y"
6.333333333,"U","PHILADELPHIA AREA",1031519,"Y"
0,"Y","PHILADELPHIA AREA",1073587,"Y"
0,"N","PHILADELPHIA AREA",1032490,"Y"
0,"U","PHILADELPHIA AREA",1042578,"N"
0,"U","PHILADELPHIA AREA",1028262,"Y"
0,"U","PHILADELPHIA AREA",1022280,"Y"
4,"U","PHILADELPHIA AREA",1019636,"Y"
0.333333333,"N","PHILADELPHIA AREA",1001710,"N"
3.333333333,"U","PHILADELPHIA AREA",1038173,"Y"
4,"Y","PHILADELPHIA AREA",1055929,"Y"
18.33333333,"U","PHILADELPHIA AREA",1074152,"N"
0,"Y","PHILADELPHIA AREA",1011791,"Y"
5.666666667,"Y","PHILADELPHIA AREA",1036609,"N"
2.666666667,"Y","PHILADELPHIA AREA",1087716,"N"
0,"U","PHILADELPHIA AREA",1056066,"Y"
0,"Y","PHILADELPHIA AREA",1019515,"Y"
0,"N","PHILADELPHIA AREA",1077130,"Y"
0,"Y","PHILADELPHIA AREA",1044106,"Y"
0,"U","PHILADELPHIA AREA",1071632,"Y"
0.666666667,"U","PHILADELPHIA AREA",1000423,"Y"
0,"U","PHILADELPHIA AREA",1010721,"Y"
0,"U","PHILADELPHIA AREA",1064078,"Y"
5,"N","PHILADELPHIA AREA",1039373,"N"
1,"U","PHILADELPHIA AREA",1019198,"Y"
0,"Y","PHILADELPHIA AREA",1038901,"Y"
0,"Y","PHILADELPHIA AREA",1091952,"N"
1.333333333,"U","PHILADELPHIA AREA",1063345,"N"
2,"U","PHILADELPHIA AREA",1004920,"N"
0,"U","PHILADELPHIA AREA",1028514,"Y"
0,"U","PHILADELPHIA AREA",1049757,"N"
0.333333333,"Y","PHILADELPHIA AREA",1034683,"Y"
0,"N","PHILADELPHIA AREA",1004806,"Y"
0.666666667,"Y","PHILADELPHIA AREA",1087126,"Y"
0,"U","PHILADELPHIA AREA",1087050,"Y"
11,"N","PHILADELPHIA AREA",1058219,"Y"
5.333333333,"U","PHILADELPHIA AREA",1072172,"Y"
1,"U","PHILADELPHIA AREA",1048837,"Y"
2.333333333,"Y","PHILADELPHIA AREA",1036460,"Y"
0,"N","PHILADELPHIA AREA",1055825,"N"
3.666666667,"U","PHILADELPHIA AREA",1032943,"Y"
0,"Y","PHILADELPHIA AREA",1036254,"Y"
1,"Y","PHILADELPHIA AREA",1088846,"Y"
1.333333333,"U","PHILADELPHIA AREA",1024034,"Y"
1.333333333,"N","PHILADELPHIA AREA",1015942,"Y"
0,"U","PHILADELPHIA AREA",1004707,"Y"
1,"U","PHILADELPHIA AREA",1044260,"Y"
0,"U","PHILADELPHIA AREA",1024186,"Y"
0,"Y","PHILADELPHIA AREA",1018597,"Y"
20,"Y","PHILADELPHIA AREA",1052223,"N"
0,"U","PHILADELPHIA AREA",1043668,"Y"
1.333333333,"Y","PHILADELPHIA AREA",1011933,"Y"
0,"N","PHILADELPHIA AREA",1012392,"Y"
0,"N","PHILADELPHIA AREA",1040806,"Y"
0,"Y","PHILADELPHIA AREA",1063625,"Y"
2.666666667,"Y","PHILADELPHIA AREA",1078583,"Y"
0.333333333,"Y","PHILADELPHIA AREA",1056274,"Y"
11.66666667,"N","PHILADELPHIA AREA",1027355,"Y"
4.666666667,"U","PHILADELPHIA AREA",1081389,"Y"
0,"N","PHILADELPHIA AREA",1016373,"Y"
3.333333333,"U","PHILADELPHIA AREA",1080188,"Y"
0,"U","PHILADELPHIA AREA",1006888,"Y"
1.333333333,"Y","PHILADELPHIA AREA",1095565,"N"
0,"U","PHILADELPHIA AREA",1058679,"Y"
0,"Y","PHILADELPHIA AREA",1039536,"Y"
0.333333333,"U","PHILADELPHIA AREA",1090322,"Y"
0,"Y","PHILADELPHIA AREA",1034126,"Y"
0,"U","PHILADELPHIA AREA",1014751,"Y"
0,"U","PHILADELPHIA AREA",1032486,"Y"
0,"Y","PHILADELPHIA AREA",1043304,"Y"
5,"U","PHILADELPHIA AREA",1072473,"N"
0.666666667,"Y","PHILADELPHIA AREA",1041876,"N"
0.333333333,"U","PHILADELPHIA AREA",1029637,"Y"
0,"N","PHILADELPHIA AREA",1011474,""
0,"N","PHILADELPHIA AREA",1088903,"Y"
0,"Y","PHILADELPHIA AREA",1037137,"Y"
0,"U","PHILADELPHIA AREA",1073274,"N"
0,"U","PHILADELPHIA AREA",1088523,"Y"
0,"Y","PHILADELPHIA AREA",1059984,"Y"
0,"U","PHILADELPHIA AREA",1011940,"Y"
0.333333333,"U","PHILADELPHIA AREA",1028179,"Y"
11.33333333,"Y","PHILADELPHIA AREA",1093976,"N"
